Mean data for UKR  Province= 16: Mykolayiv,  from 2016 to 2018<br>The data below were extracted from weekly files like: ../NPP_VH/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_201601.txt<br><tt><pre>year,week,, provinceID, SMN,SMT,VCI,TCI,VHI
2016 01  0.126,268.30, 37.99, 41.12, 39.53
2016 02  0.116,266.57, 36.71, 51.26, 43.97
2016 03  0.112,266.20, 34.64, 53.20, 43.90
2016 04  0.110,266.85, 33.07, 50.34, 41.71
2016 05  0.113,268.63, 34.03, 43.39, 38.70
2016 06  0.121,271.33, 37.02, 35.43, 36.22
2016 07  0.136,274.49, 40.99, 27.97, 34.48
2016 08  0.150,277.25, 43.97, 23.66, 33.81
2016 09  0.160,279.34, 45.23, 21.80, 33.51
2016 10  0.172,281.04, 44.98, 21.67, 33.33
2016 11  0.230,286.00, 54.75, 11.12, 32.94
2016 12  0.254,288.06, 56.56, 10.10, 33.33
2016 13  0.285,290.18, 59.74, 10.08, 34.91
2016 14  0.324,292.01, 63.70, 10.55, 37.12
2016 15  0.362,293.21, 65.83, 14.59, 40.21
2016 16  0.404,294.22, 67.43, 21.97, 44.70
2016 17  0.440,294.74, 68.26, 34.90, 51.58
2016 18  0.469,294.68, 68.29, 50.83, 59.56
2016 19  0.493,294.57, 66.84, 66.33, 66.59
2016 20  0.513,294.58, 65.45, 75.47, 70.46
2016 21  0.530,294.70, 66.26, 81.05, 73.66
2016 22  0.544,294.95, 67.90, 82.12, 75.01
2016 23  0.554,295.41, 72.15, 79.35, 75.75
2016 24  0.561,296.03, 75.44, 76.14, 75.79
2016 25  0.565,296.92, 77.11, 72.27, 74.69
2016 26  0.566,297.74, 77.38, 67.82, 72.60
2016 27  0.563,298.65, 77.17, 62.57, 69.87
2016 28  0.552,299.37, 74.78, 57.70, 66.24
2016 29  0.539,300.09, 72.68, 52.63, 62.66
2016 30  0.520,300.54, 70.52, 48.08, 59.30
2016 31  0.497,300.82, 68.62, 42.71, 55.66
2016 32  0.474,300.86, 66.73, 39.02, 52.87
2016 33  0.450,300.92, 63.19, 36.36, 49.78
2016 34  0.427,300.91, 59.17, 34.02, 46.60
2016 35  0.402,300.59, 54.24, 31.49, 42.86
2016 36  0.378,299.93, 48.08, 26.59, 37.34
2016 37  0.353,298.80, 41.93, 25.42, 33.67
2016 38  0.331,297.09, 37.07, 28.87, 32.97
2016 39  0.311,294.40, 33.41, 38.16, 35.79
2016 40  0.291,291.35, 31.52, 50.09, 40.82
2016 41  0.276,288.46, 31.80, 57.46, 44.63
2016 42  0.262,285.98, 33.12, 57.93, 45.50
2016 43  0.245,283.65, 32.95, 53.78, 43.31
2016 44  0.229,281.42, 32.74, 47.41, 40.00
2016 45  0.211,279.10, 35.31, 47.21, 41.19
2016 46  0.198,276.91, 35.79, 49.10, 42.38
2016 47  0.184,274.57, 35.42, 51.98, 43.69
2016 48  0.170,272.42, 35.67, 54.10, 44.90
2016 49  0.157,270.56, 35.62, 51.65, 43.64
2016 50  0.146,269.18, 34.68, 49.10, 41.89
2016 51  0.135,268.02, 34.24, 47.48, 40.86
2016 52  0.125,267.11, 33.06, 48.03, 40.54
2017 01  0.117,266.59, 35.14, 49.40, 42.27
2017 02  0.115,266.59, 36.44, 50.40, 43.42
2017 03  0.114,267.04, 35.60, 48.73, 42.15
2017 04  0.113,267.54, 34.13, 47.52, 40.83
2017 05  0.114,268.67, 34.45, 43.15, 38.80
2017 06  0.120,270.41, 36.54, 38.68, 37.60
2017 07  0.131,272.79, 39.34, 33.84, 36.58
2017 08  0.147,275.92, 43.00, 27.89, 35.45
2017 09  0.168,279.55, 47.40, 21.44, 34.42
2017 10  0.190,282.87, 49.56, 16.35, 32.96
2017 11  0.218,286.48, 51.18,  9.57, 30.37
2017 12  0.250,289.63, 54.98,  5.58, 30.28
2017 13  0.287,292.03, 59.46,  4.98, 32.22
2017 14  0.320,293.62, 61.97,  5.89, 33.93
2017 15  0.356,295.02, 63.66,  8.16, 35.91
2017 16  0.396,296.33, 64.96, 12.18, 38.57
2017 17  0.433,296.84, 65.86, 22.30, 44.08
2017 18  0.468,297.39, 67.04, 31.60, 49.32
2017 19  0.500,298.16, 67.43, 37.69, 52.56
2017 20  0.524,298.78, 67.13, 41.20, 54.17
2017 21  0.542,299.19, 67.95, 46.02, 56.99
2017 22  0.549,299.35, 67.95, 49.58, 58.77
2017 23  0.548,299.91, 68.80, 46.86, 57.83
2017 24  0.541,300.79, 68.08, 41.78, 54.93
2017 25  0.530,300.82, 65.72, 43.97, 54.84
2017 26  0.519,300.80, 63.20, 45.65, 54.42
2017 27  0.509,301.09, 61.46, 45.51, 53.49
2017 28  0.496,301.44, 59.24, 43.74, 51.49
2017 29  0.481,301.90, 57.11, 40.36, 48.74
2017 30  0.463,302.45, 55.11, 35.25, 45.18
2017 31  0.441,302.97, 52.72, 28.51, 40.62
2017 32  0.415,303.12, 49.86, 24.09, 36.97
2017 33  0.390,302.84, 45.60, 23.16, 34.38
2017 34  0.366,302.34, 41.07, 23.35, 32.21
2017 35  0.345,301.91, 37.14, 20.90, 29.02
2017 36  0.325,300.84, 32.20, 19.27, 25.73
2017 37  0.307,299.08, 28.28, 23.06, 25.66
2017 38  0.291,297.07, 26.00, 28.63, 27.31
2017 39  0.275,294.87, 24.45, 33.77, 29.10
2017 40  0.262,292.58, 24.45, 39.03, 31.73
2017 41  0.246,289.79, 24.78, 45.53, 35.13
2017 42  0.232,286.67, 26.17, 50.86, 38.47
2017 43  0.214,283.44, 26.83, 54.92, 40.78
2017 44  0.200,280.58, 26.51, 51.44, 38.89
2017 45  0.193,278.29, 30.56, 51.16, 40.80
2017 46  0.188,276.64, 33.00, 49.32, 41.11
2017 47  0.186,275.28, 35.62, 45.44, 40.53
2017 48  0.185,274.18, 38.86, 40.74, 39.81
2017 49  0.175,272.85, 41.19, 34.52, 37.85
2017 50  0.175,272.65, 42.69, 27.86, 35.26
2017 51  0.180,272.74, 47.81, 21.31, 34.56
2017 52  0.184,272.35, 50.99, 20.99, 35.98
2018 01  0.190,272.42, 56.74, 20.45, 38.57
2018 02  0.183,271.38, 56.01, 26.77, 41.37
2018 03  0.173,270.80, 52.29, 32.48, 42.37
2018 04  0.165,270.49, 48.68, 36.69, 42.69
2018 05  0.152,269.87, 45.36, 39.24, 42.29
2018 06  0.144,269.72, 43.61, 41.31, 42.45
2018 07  0.138,269.85, 41.50, 43.86, 42.68
2018 08  0.132,270.36, 38.77, 44.88, 41.83
2018 09  0.132,271.30, 37.29, 46.34, 41.81
2018 10  0.136,272.41, 34.84, 48.46, 41.65
2018 11  0.148,273.51, 32.05, 55.86, 43.96
</pre></tt>
